Provinsi / Kabupaten / Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
PONTIANAK,62.21,61.79,62.22,62.27,62.29,-,62.91,61.62
SANGGAU,71.28,73.86,69.88,69.64,69.77,-,61.15,62.11
KETAPANG,55.14,56.46,49.32,49.92,55.8,-,58.77,55.83
SINTANG,63.74,63.7,63.55,63.67,63.97,-,61.78,60.36
KAPUAS HULU,64.05,63.76,62.52,63.08,63.13,-,69.75,70.5
SEKADAU,57.25,57.74,56.27,57.6,57.4,-,55.34,56.45
MELAWI,73.71,73.59,66.4,66.33,69.5,-,55.7,54.62
KAYONG UTARA,47.97,47.36,47.29,47.76,47.87,-,50.02,48.92
KUBU RAYA,78.05,77.63,72.43,73.24,73.04,-,63.33,63.57
KOTA PONTIANAK,68.44,66.99,66.48,66.18,66.23,-,61.04,60.99
KOTA SINGKAWANG,71.34,69.66,71.58,71.65,71.47,-,56.75,56.71
KALIMANTAN TENGAH,81.98,79.99,83.2,82.41,82.08,78.23,79.36,77.03
KOTAWARINGIN BARAT,63,66.18,64.11,64.53,63.44,-,63.31,59.72
KOTAWARINGIN TIMUR,67.38,70.8,67.36,69.52,69.51,-,67.87,67.35
KAPUAS,73.35,74.37,73.81,73.33,73.02,-,71.5,75.34
BARITO SELATAN,86.34,86.33,86.33,86.05,86.17,-,81.67,83.19
BARITO UTARA,87.1,87.08,85.35,85.02,85.62,-,86.2,84.52
SUKAMARA,67.33,67.53,66.33,66.02,66.4,-,59.78,65.77
LAMANDAU,69.98,71.4,71.06,71.26,70.26,-,54.13,54.98
SERUYAN,62.16,66.83,62.83,63.2,63.19,-,70.13,70.07
KATINGAN,66.8,68.19,66.57,66.36,67.66,-,66.87,73.32
PULANG PISAU,69.68,71.01,70.36,70.63,70.35,-,70.14,74.13
GUNUNG MAS,89.15,89.29,88.91,88.22,88.71,-,78.74,82.73
BARITO TIMUR,82.56,81.48,82.67,81.98,82.44,-,76.46,76.5
MURUNG RAYA,67.48,66.69,68.1,68.21,67.72,-,66.93,67.38
KOTA PALANGKA RAYA,80.48,81.85,78.95,79.12,78.72,-,79.94,80.61
KALIMANTAN SELATAN,74.8,75.97,74.6,74.48,74.58,67.4,67.56,71.31
TANAH LAUT,73.54,76.45,70.67,72.8,72.86,-,65.99,65.96
KOTA BARU,74.85,75.95,71.21,72.21,72.6,-,70.08,70.68
BANJAR,80.83,80.86,80.73,80.52,80.24,-,76.49,76.51
BARITO KUALA,78.8,79.24,78.35,78.03,78.17,-,73.44,73.62
TAPIN,72.82,73.53,65.16,64.97,73.19,-,72.99,73.11
HULU SUNGAI SELATAN,54.45,55.12,54.5,53.82,53.55,-,61.1,60.48
HULU SUNGAI TENGAH,77.89,77.73,77.69,77.53,77.48,-,80.07,80.19
HULU SUNGAI UTARA,71.81,70.65,70.36,70.65,70.07,-,64.5,64.59
TABALONG,74.6,72.54,72.3,73.39,74.65,-,70.77,71.97
TANAH BUMBU,65.72,67.75,67.05,67.23,66.87,-,57.45,57.61
BALANGAN,70.03,73.27,69.55,70.14,70.57,-,65.79,65.97
KOTA BANJARMASIN,79.73,79.48,79.56,79.6,79.45,-,73.74,74.24
KOTA BANJAR BARU,69.33,70.2,66.63,66.77,69.7,-,73.83,75.08
KALIMANTAN TIMUR,66.89,68.96,65.65,65.54,66.64,56.93,56.64,57.53
PASIR,64.94,68.35,66.2,65.66,65.67,-,62.07,62.76
KUTAI BARAT,66.01,66.9,61.14,60.6,65.34,-,62.63,63.68
KUTAI KARTANEGARA,63.4,63.55,63.74,61.43,62.76,-,55.07,56.44
KUTAI TIMUR,51.55,53.99,56.35,53.77,53.78,-,53.71,55.72
BERAU,58.17,57.53,57.66,57.91,56.48,-,49.85,50.55
MALINAU,69.1,72.55,-,68.85,70.11,-,-,-
MALINAU,69.1,72.55,-,68.85,70.11,-,65.14,65.03
MALINAU,69.1,72.55,65.84,68.85,70.11,-,-,-
MALINAU,69.1,72.55,65.84,68.85,70.11,-,65.14,65.03
MALINAU,69.1,72.55,-,68.85,70.11,-,-,-
MALINAU,69.1,72.55,-,68.85,70.11,-,65.14,65.03
MALINAU,69.1,72.55,65.84,68.85,70.11,-,-,-
MALINAU,69.1,72.55,65.84,68.85,70.11,-,65.14,65.03
BULUNGAN,65.72,0.0,-,65.14,64.45,-,-,-
NUNUKAN,77.41,78.68,-,77.16,77.67,-,-,-
NUNUKAN,77.41,78.68,-,77.16,77.67,-,70.02,70.26
NUNUKAN,77.41,78.68,77.78,77.16,77.67,-,-,-
NUNUKAN,77.41,78.68,77.78,77.16,77.67,-,70.02,70.26
NUNUKAN,77.41,78.68,-,77.16,77.67,-,-,-
NUNUKAN,77.41,78.68,-,77.16,77.67,-,70.02,70.26
NUNUKAN,77.41,78.68,77.78,77.16,77.67,-,-,-
NUNUKAN,77.41,78.68,77.78,77.16,77.67,-,70.02,70.26
PENAJAM PASER UTARA,50.58,50.02,50.36,49.75,49.85,-,50.3,50.02
TANA TIDUNG,60.82,61.54,-,59.74,60.52,-,-,-
TANA TIDUNG,60.82,61.54,-,59.74,60.52,-,48.06,50.19
TANA TIDUNG,60.82,61.54,52.64,59.74,60.52,-,-,-
TANA TIDUNG,60.82,61.54,52.64,59.74,60.52,-,48.06,50.19
TANA TIDUNG,60.82,61.54,-,59.74,60.52,-,-,-
TANA TIDUNG,60.82,61.54,-,59.74,60.52,-,48.06,50.19
TANA TIDUNG,60.82,61.54,52.64,59.74,60.52,-,-,-
TANA TIDUNG,60.82,61.54,52.64,59.74,60.52,-,48.06,50.19
MAHAKAM ULU,81.11,82.42,80.61,80.41,80.43,-,74.12,76.04
KOTA BALIKPAPAN,69.27,72.0,69.11,68.97,68.62,-,65.52,66.33
KOTA SAMARINDA,68.63,68.71,66.29,70.65,67.54,-,70.84,69.61
KOTA TARAKAN,59.15,58.61,-,59.72,58.92,-,-,-
KOTA TARAKAN,59.15,58.61,-,59.72,58.92,-,51.33,52
KOTA TARAKAN,59.15,58.61,59.34,59.72,58.92,-,-,-
KOTA TARAKAN,59.15,58.61,59.34,59.72,58.92,-,51.33,52
KOTA TARAKAN,59.15,58.61,-,59.72,58.92,-,-,-
KOTA TARAKAN,59.15,58.61,-,59.72,58.92,-,51.33,52
KOTA TARAKAN,59.15,58.61,59.34,59.72,58.92,-,-,-
KOTA TARAKAN,59.15,58.61,59.34,59.72,58.92,-,51.33,52
KOTA BONTANG,46.12,47.2,51.99,51.97,45.67,-,45.44,46.36
KALIMANTAN UTARA,61.92,58.86,61.48,64.31,61.7,63.52,61.09,69.53
BULONGAN,65.72,65.55,62.05,65.14,64.45,-,47.74,48.34
SULAWESI UTARA,78.99,80.56,79.1,78.98,79.07,81.24,82.37,80.91
BOLAANG MONGONDOW,71.41,76.79,78.05,77.77,77.36,-,69.91,70.64
MINAHASA,87.16,87.8,87.63,87.05,87.29,-,82.42,82.96
KEPULAUAN SANGIHE,61.58,62.99,61.38,59.91,61.32,-,73.01,66
KEPULAUAN TALAUD,69.09,68.21,68.59,68.44,68.46,-,52.11,58.86
MINAHASA SELATAN,75.16,73.84,76.2,78.34,77.59,-,75.1,76.53
MINAHASA UTARA,65.6,67.07,67.4,64.6,63.95,-,77.48,76.74
BOLAANG MONGONDOW UTARA,57.19,58.6,61.99,63.79,60.61,-,64.93,64.9
SIAU TAGULANDANG BIARO,75.75,78.24,74.53,74.89,74.47,-,73.05,73.9
MINAHASA TENGGARA,80.09,80.63,78.46,79.92,80.11,-,79.28,79.86
BOLAANG MONGONDOW SELATAN,62.98,65.11,72.22,68.16,71.51,-,67.86,67.98
BOLAANG MONGONDOW TIMUR,70.13,66.1,73.06,72.48,70.59,-,64.41,66.08
KOTA MANADO,84.88,83.49,83.96,84.67,84.29,-,81,83.18
KOTA BITUNG,66.42,65.3,65.15,68.84,68.84,-,73.25,73
KOTA TOMOHON,83.44,83.48,81.86,82.91,83.7,-,82.32,83.23
KOTA KOTAMOBAGU,67.81,62.98,66.93,66.42,66.79,-,57.48,69.33
SULAWESI TENGAH,77.52,77.29,74.49,75.78,75.8,70.05,70.38,73.95
BANGGAI KEPULAUAN,76.01,75.89,72.09,71.79,71.86,-,67.79,72.04
BANGGAI,74.21,76.07,73.88,74.09,73.06,-,70.23,69.04
MOROWALI,55.25,56.01,51.09,51.56,51.08,-,63.49,64.04
POSO,71.05,75.34,70.77,70.92,70.94,-,68.01,65.29
DONGGALA,64.58,58.23,64.03,64.34,64.04,-,56.35,56.87
TOLI-TOLI,65.7,65.48,68.62,67.62,65.32,-,66.45,67.42
BUOL,61.34,61.53,60.74,61.17,61.32,-,66.51,63.96
PARIGI MOUTONG,62.74,59.77,60.85,60.49,60.5,-,54.93,55.28
TOJO UNA-UNA,55.21,54.39,50.73,50.98,50.69,-,53.76,54.64
SIGI,72.78,72.29,67.12,65.77,69.37,-,59.65,56.6
BANGGAI LAUT,70.41,71.7,71.14,68.51,72.68,-,56.04,57.66
MOROWALI UTARA,65,65.32,66.32,67.44,66.13,-,60.5,57.68
KOTA PALU,65.36,67.84,66.15,65.76,65.07,-,67.81,67.83
SULAWESI SELATAN,76.37,75.24,76.01,76.32,74.76,70.02,70.57,69.14
KEPULAUAN SELAYAR,68.71,70.29,68.03,70.06,68.07,-,64.74,64.69
BULUKUMBA,70.32,69.74,69.89,68.22,67.1,-,67.16,66.78
BANTAENG,80.21,79.28,80.27,80.26,81.2,-,77.74,80.53
JENEPONTO,68.94,70.73,68.04,68.24,68.68,-,67.93,72.37
TAKALAR,73.39,74.45,70.66,68.78,70.67,-,66.6,70.55
GOWA,78.35,79.7,78.31,77.97,79.71,-,69.01,61.06
SINJAI,73.78,71.09,72.48,73.46,73.59,-,72.56,70.24
MAROS,71.63,71.85,69.93,72.43,72.38,-,65.16,65.48
PANGKAJENE DAN KEPULAUAN,64.12,66.38,57.03,59.44,59.94,-,56.96,56.2
BARRU,65.24,64.91,63.41,63.96,63.98,-,63.54,69.24
BONE,59.09,58.61,58.55,56.68,57.55,-,62.75,63.16
SOPPENG,71.07,74.6,71.45,71.15,70.54,-,69.35,73.75
WAJO,55.83,57.9,55.09,56.24,56.3,-,60.62,61.07
SIDENRENG RAPPANG,56.71,60.37,56.8,56.86,56.39,-,49.02,52.71
PINRANG,65.12,68.92,67.92,68.11,68.43,-,59.61,61.73
ENREKANG,62.98,64.68,58.28,60.32,56.51,-,58.68,59.36
LUWU,58.03,55.34,55.89,57.15,57.29,-,61.61,63.58
TANA TORAJA,70.68,70.29,69.32,68.5,68.77,-,73.99,74.14
LUWU UTARA,43.96,47.63,38.92,38.11,41.11,-,44.98,46.24
LUWU TIMUR,55.4,53.38,50.76,50.76,54.09,-,45.96,46.06
TORAJA UTARA,64.21,62.23,62.58,60.98,62.73,-,56.04,56.15
KOTA MAKASSAR,78.15,78.13,78.32,77.61,76.59,-,68.73,67.89
KOTA PARE-PARE,71.21,71.85,73.86,74.06,70.86,-,61.56,66.62
KOTA PALOPO,79.1,78.19,77.53,77.47,78.45,-,70.85,74.87
SULAWESI TENGGARA,73.72,73.58,71.4,72.54,73.1,70.51,70.76,71.54
BUTON,70.51,70.37,64.49,71.41,68.21,-,73.46,74.56
MUNA,65.95,65.12,65.49,65.75,65.32,-,61.19,61.33
KONAWE,79.17,80.13,78.41,78.29,77.94,-,76.76,75.9
KOLAKA,67.14,67.85,63.98,67.48,67.02,-,59.45,61.12
KONAWE SELATAN,73.97,75.29,70.02,69.77,72.04,-,79.2,80.27
BOMBANA,58.86,68.48,58.11,57.19,57.62,-,53.23,54.04
WAKATOBI,81.35,83.62,79.01,79.85,79.86,-,71.65,74.34
KOLAKA UTARA,67.07,64.26,67.3,65.01,64.54,-,51.62,46.43
BUTON UTARA,77.47,77.18,76.46,76.24,75.55,-,67.83,67.49
KONAWE UTARA,69.39,70.65,69.52,69.52,69.04,-,69.13,76.9
KOLAKA TIMUR,78.72,77.92,80.33,81.38,80.75,-,61.7,62.27
KONAWE KEPULAUAN,51.19,53.85,51.17,51.1,51.48,-,49.52,48.96
MUNA BARAT,57.35,57.58,50.64,52.76,55.66,-,45.07,45.09
BUTON TENGAH,80.51,81.82,80.2,81.29,80.73,-,70.08,71.43
BUTON SELATAN,75.99,77.46,74.66,74.75,74.79,-,69.09,63.03
KOTA KENDARI,81.68,81.02,79.76,81.0,81.22,-,85.3,83.48
KOTA BAU-BAU,72.46,72.04,72.28,72.12,72.42,-,67.98,68.94
GORONTALO,71.2,71.11,70.67,70.74,70.4,69.7,71.09,71.23
GORONTALO,71.2,71.11,70.67,70.74,70.4,-,65.76,66.42
GORONTALO,71.2,71.11,62.91,62.84,62.48,69.7,71.09,71.23
GORONTALO,71.2,71.11,62.91,62.84,62.48,-,65.76,66.42
GORONTALO,62.68,63.22,70.67,70.74,70.4,69.7,71.09,71.23
GORONTALO,62.68,63.22,70.67,70.74,70.4,-,65.76,66.42
GORONTALO,62.68,63.22,62.91,62.84,62.48,69.7,71.09,71.23
GORONTALO,62.68,63.22,62.91,62.84,62.48,-,65.76,66.42
BOALEMO,67.8,69.46,68.53,69.15,70.38,-,66.59,60.96
POHUWATO,73.66,70.45,68.74,73.16,69.41,-,69.62,72.26
BONE BOLANGO,52.33,53.38,51.91,51.73,52.13,-,46.97,47.05
GORONTALO UTARA,70.02,69.21,76.61,70.49,70.51,-,63.28,64.6
KOTA GORONTALO,73.08,72.15,75.33,75.23,71.19,-,70.64,68.89
SULAWESI BARAT,66.55,66.93,65.92,65.92,65.93,71.71,73.37,71.95
MAJENE,75.76,76.28,75.3,75.56,75.46,-,74.51,74.87
POLEWALI MANDAR,71.81,74.87,72.21,71.94,71.13,-,71.81,75.19
MAMASA,60.39,60.95,60.28,60.4,60.49,-,52.52,52.59
MAMUJU,60.59,60.96,58.96,58.58,59.38,-,65.34,62.75
MAMUJU UTARA,57.52,57.17,50.46,54.13,56.97,-,49.23,50.12
MAMUJU TENGAH,67.01,57.26,65.86,66.56,67.11,-,62.73,60.88
MALUKU,74.99,78.09,75.77,75.54,75.54,77.36,78.87,77.77
MALUKU TENGGARA BARAT,78.64,77.96,73.32,76.66,77.53,-,71.36,66.08
MALUKU TENGGARA,69.96,69.41,69.08,69.24,69.22,-,59.84,60.64
MALUKU TENGAH,59.2,64.95,63.23,63.03,62.94,-,59.99,60.06
BURU,55.42,55.56,56.39,56.56,56.56,-,60.55,64.65
KEPULAUAN ARU,62.18,63.22,62.7,62.72,62.64,-,57.57,62.3
SERAM BAGIAN BARAT,55.42,56.39,54.26,53.33,55.49,-,57.91,62.12
SERAM BAGIAN TIMUR,51.97,53.45,52.79,53.41,51.74,-,57.6,57.89
MALUKU BARAT DAYA,57.86,57.47,55.85,55.99,56.41,-,50.1,50.42
BURU SELATAN,60.63,62.19,55.87,61.23,61.48,-,54.98,55.66
KOTA AMBON,73.98,74.71,74.38,74.01,74.33,-,67.66,71.54
KOTA TUAL,58.83,58.53,58.2,57.54,58.05,-,51.84,45.26
MALUKU UTARA,78.99,79.05,77.5,77.28,78.59,68.19,70.31,72.81
HALMAHERA BARAT,70.31,73.55,66.22,72.36,72.38,-,69.15,66.01
HALMAHERA TENGAH,58.34,53.32,52.2,51.69,51.7,-,51.79,51.42
KEPULAUAN SULA,45.63,44.91,49.87,45.05,44.68,-,48.59,49.51
HALMAHERA SELATAN,46.38,47.19,47.3,47.29,47.19,-,38.52,38.54
HALMAHERA UTARA,65.5,68.4,66.3,66.53,66.1,-,66.33,66.56
HALMAHERA TIMUR,50.2,50.05,50.74,50.84,51.23,-,49.53,50.23
PULAU MOROTAI,53.75,54.56,55.77,55.71,54.41,-,55.45,55.4
PULAU TALIABU,57.14,58.6,56.73,57.69,58.33,-,50.73,53.9
KOTA TERNATE,74.25,74.45,74.9,74.96,75.08,-,70.03,71.57
KOTA TIDORE KEPULAUAN,68.23,67.74,67.52,67.01,67.32,-,66.48,67.02
PAPUA BARAT,61.93,62.42,61.52,62.17,62.17,49.56,47.88,51.04
FAKFAK,59.71,59.49,59.64,59.82,60.07,-,68.38,67.41
KAIMANA,73.35,80.75,73.57,74.23,74.3,-,66.98,69.82
TELUK WONDAMA,47.39,52.94,53.75,53.19,51.01,-,51.9,49.54
TELUK BINTUNI,57.8,53.82,56.52,57.19,56.85,-,48.8,65.47
MANOKWARI,71.36,74.12,71.75,73.46,72.57,-,65.39,67.47
SORONG SELATAN,63.39,69.59,63.74,58.4,64.52,-,63.02,63.77
SORONG,60.05,59.91,59.25,60.69,59.61,-,50.06,54.38
RAJA AMPAT,53.35,53.96,52.88,53.49,53.11,-,70.35,69.55
TAMBRAUW,38.64,40.03,36.61,33.63,34.54,-,43.28,48.93
MAYBRAT,45.34,45.08,44,45.04,44.84,-,47.75,50.41
MANOKWARI SELATAN,63.66,63.86,64.74,66.63,66.26,-,72.37,72.27
PEGUNUNGAN ARFAK,45.09,38.21,31.57,33.34,36.36,-,42.46,47.25
KOTA SORONG,69.67,69.89,69.55,69.65,70.14,-,60.14,60.46
PAPUA,68.66,65.7,65.37,66.72,67.5,64.73,61.89,68.71
MERAUKE,59.71,58.74,57.35,55.59,58.12,-,71.65,72.18
JAYAWIJAYA,63.84,65.63,60.33,58.9,61.5,-,51.42,53.8
JAYAPURA,69.5,70.2,69.7,68.77,70.2,-,61.91,61.79
NABIRE,62.56,72.41,65.9,65.17,66.55,-,71.8,72.71
KEPULAUAN YAPEN,64.65,68.76,70.32,68.95,67.73,-,49.92,55.38
BIAK NUMFOR,69.84,70.71,70.56,69.95,68.87,-,61.88,62.01
PANIAI,67.32,40.2,51.13,52.39,57.36,-,50.92,40.79
PUNCAK JAYA,60.9,38.72,47.9,48.9,51.94,-,42.76,51.17
MIMIKA,54.74,51.06,43.43,52.79,53.86,-,46.48,47.72
BOVEN DIGOEL,55.83,52.35,54.07,53.87,52.17,-,44.55,60.19
MAPPI,52.82,56.55,55.56,55.98,58.91,-,57.51,61.61
ASMAT,78.16,73.68,74.86,77.13,78.37,-,28.71,29.22
YAHUKIMO,49.6,53.31,44.86,41.3,37.95,-,46.01,50.71
PEGUNUNGAN BINTANG,28.7,49.53,59.37,51.35,51.95,-,48.82,49.1
TOLIKARA,57.32,41.47,62.44,52.51,47.91,-,45.93,46.78
SARMI,68.85,70.35,73.09,74.19,72.92,-,65.29,62.23
KEEROM,54.04,63.87,58.06,59.31,59.83,-,62.34,57.71
WAROPEN,50.86,55.92,47.78,50.82,50.39,-,53.41,65.82
SUPIORI,63.21,64.18,66.33,64.07,62.65,-,63,63.85
MAMBERAMO RAYA,55.13,54.83,58.23,53.8,59.29,-,36.95,53.16
NDUGA,45.14,42.56,54.13,58.21,47.61,-,58.02,59.16
LANNY JAYA,47.98,27.24,42.51,44.03,37.08,-,38.86,57.8
MAMBERAMO TENGAH,49.34,52.77,45.64,40.66,46.96,-,53.42,41.04
YALIMO,50.98,44.15,39.08,42.26,37.8,-,49.54,54.51
PUNCAK,46.22,46.45,48.26,45.43,40.83,-,42.95,43.57
DOGIYAI,48.32,51.83,59.9,40.57,35.22,-,42.92,47.82
INTAN JAYA,31.41,35.89,43.96,39.88,37.14,-,51.49,47.39
DEIYAI,48.7,49.7,39.35,40.07,40.17,-,38.42,41.12
KOTA JAYAPURA,75.55,77.65,82.75,81.05,80.25,-,78.89,83.41
INDONESIA,76.59,76.9,75.24,75.57,76.26,71.39,71.74,72.1
